vtkOriginalCellIds,attribute,perm_0,perm_1,perm_2,poro,vol
5344,1,3.21875e-13,3.21875e-13,3.21875e-13,0.220383,175178
5345,1,3.41911e-13,3.41911e-13,3.41911e-13,0.223094,175169
5346,1,1.0418e-13,1.0418e-13,1.0418e-13,0.181222,174465
5347,1,1.0418e-13,1.0418e-13,1.0418e-13,0.181222,174542
5348,1,1.05135e-13,1.05135e-13,1.05135e-13,0.181509,174618
5349,1,1.07048e-13,1.07048e-13,1.07048e-13,0.182086,174575
5350,1,2.02185e-13,2.02185e-13,2.02185e-13,0.1996,174631
5351,1,2.97191e-13,2.97191e-13,2.97191e-13,0.217017,174670
5352,1,2.98016e-13,2.98016e-13,2.98016e-13,0.217207,174713
5353,1,3.10823e-13,3.10823e-13,3.10823e-13,0.218888,174753
5354,1,3.37519e-13,3.37519e-13,3.37519e-13,0.222493,174779
5355,1,1.06092e-13,1.06092e-13,1.06092e-13,0.181798,174376
5356,1,1.06092e-13,1.06092e-13,1.06092e-13,0.181798,174430
5357,1,1.07048e-13,1.07048e-13,1.07048e-13,0.182086,174417
5358,1,1.08693e-13,1.08693e-13,1.08693e-13,0.182552,174431
5359,1,1.80086e-13,1.80086e-13,1.80086e-13,0.195656,174486
5360,1,2.76454e-13,2.76454e-13,2.76454e-13,0.213224,174480
5361,1,3.02118e-13,3.02118e-13,3.02118e-13,0.217866,174530
5362,1,3.08521e-13,3.08521e-13,3.08521e-13,0.218707,174511
5363,1,3.35093e-13,3.35093e-13,3.35093e-13,0.222271,174590
5364,1,1.08003e-13,1.08003e-13,1.08003e-13,0.182373,174006
5365,1,1.08003e-13,1.08003e-13,1.08003e-13,0.182373,174101
5366,1,1.08003e-13,1.08003e-13,1.08003e-13,0.182373,174076
5367,1,1.09382e-13,1.09382e-13,1.09382e-13,0.18273,174169
5368,1,1.57987e-13,1.57987e-13,1.57987e-13,0.191712,174162
5369,1,2.55716e-13,2.55716e-13,2.55716e-13,0.209432,174216
5370,1,3.0622e-13,3.0622e-13,3.0622e-13,0.218526,174255
5371,1,3.0622e-13,3.0622e-13,3.0622e-13,0.218526,174275
5372,1,3.32412e-13,3.32412e-13,3.32412e-13,0.221996,174358
5373,1,1.0882e-13,1.0882e-13,1.0882e-13,0.182632,173774
5374,1,1.0882e-13,1.0882e-13,1.0882e-13,0.182632,173835
5375,1,1.0882e-13,1.0882e-13,1.0882e-13,0.182632,173851
5376,1,1.0951e-13,1.0951e-13,1.0951e-13,0.18281,173866
5377,1,1.33812e-13,1.33812e-13,1.33812e-13,0.187301,173924
5378,1,2.32408e-13,2.32408e-13,2.32408e-13,0.205177,173930
5379,1,3.07391e-13,3.07391e-13,3.07391e-13,0.218739,174005
5380,1,3.07391e-13,3.07391e-13,3.07391e-13,0.218739,173926
5381,1,3.20487e-13,3.20487e-13,3.20487e-13,0.220474,174028
5382,1,1.09637e-13,1.09637e-13,1.09637e-13,0.182891,173291
5383,1,1.09637e-13,1.09637e-13,1.09637e-13,0.182891,173284
5384,1,1.09637e-13,1.09637e-13,1.09637e-13,0.182891,173354
5385,1,1.09637e-13,1.09637e-13,1.09637e-13,0.182891,173338
5386,1,1.34719e-13,1.34719e-13,1.34719e-13,0.187521,173372
5387,1,2.34182e-13,2.34182e-13,2.34182e-13,0.205551,173339
5388,1,3.08562e-13,3.08562e-13,3.08562e-13,0.218952,173342
5389,1,3.08562e-13,3.08562e-13,3.08562e-13,0.218952,173352
5390,1,3.08562e-13,3.08562e-13,3.08562e-13,0.218952,173430
5391,1,1.09637e-13,1.09637e-13,1.09637e-13,0.182891,171581
5392,1,1.09637e-13,1.09637e-13,1.09637e-13,0.182891,171657
5393,1,1.09637e-13,1.09637e-13,1.09637e-13,0.182891,171692
5394,1,1.09637e-13,1.09637e-13,1.09637e-13,0.182891,171735
5395,1,1.59801e-13,1.59801e-13,1.59801e-13,0.192151,171756
5396,1,2.59264e-13,2.59264e-13,2.59264e-13,0.210181,171808
5397,1,3.08562e-13,3.08562e-13,3.08562e-13,0.218952,171809
5398,1,3.08562e-13,3.08562e-13,3.08562e-13,0.218952,171890
5399,1,3.08562e-13,3.08562e-13,3.08562e-13,0.218952,171955
5400,1,1.10842e-13,1.10842e-13,1.10842e-13,0.183214,168585
5401,1,1.10842e-13,1.10842e-13,1.10842e-13,0.183214,168726
5402,1,1.10842e-13,1.10842e-13,1.10842e-13,0.183214,168710
5403,1,1.11725e-13,1.11725e-13,1.11725e-13,0.183424,168821
5404,1,1.37691e-13,1.37691e-13,1.37691e-13,0.188265,168813
5405,1,2.11018e-13,2.11018e-13,2.11018e-13,0.201538,168904
5406,1,2.84857e-13,2.84857e-13,2.84857e-13,0.214704,168932
5407,1,3.10449e-13,3.10449e-13,3.10449e-13,0.219226,169006
5408,1,3.1681e-13,3.1681e-13,3.1681e-13,0.220069,169040
5409,1,1.12047e-13,1.12047e-13,1.12047e-13,0.183537,165596
5410,1,1.12047e-13,1.12047e-13,1.12047e-13,0.183537,165767
5411,1,1.12047e-13,1.12047e-13,1.12047e-13,0.183537,165830
5412,1,1.13813e-13,1.13813e-13,1.13813e-13,0.183958,165917
5413,1,1.1558e-13,1.1558e-13,1.1558e-13,0.18438,165926
5414,1,1.62773e-13,1.62773e-13,1.62773e-13,0.192895,166016
5415,1,2.6115e-13,2.6115e-13,2.6115e-13,0.210455,166042
5416,1,3.12336e-13,3.12336e-13,3.12336e-13,0.2195,166166
5417,1,3.25056e-13,3.25056e-13,3.25056e-13,0.221185,166168
