vtkOriginalCellIds,attribute,perm_0,perm_1,perm_2,poro,vol
27665,2,6.91648e-14,6.91648e-14,6.91648e-14,0.216659,163735
27666,2,6.91648e-14,6.91648e-14,6.91648e-14,0.216659,165002
27667,2,6.95353e-14,6.95353e-14,6.95353e-14,0.216625,167829
27668,2,7.02764e-14,7.02764e-14,7.02764e-14,0.216556,170715
27669,2,7.06469e-14,7.06469e-14,7.06469e-14,0.216522,173303
27670,2,7.06469e-14,7.06469e-14,7.06469e-14,0.216522,175394
27671,2,7.06469e-14,7.06469e-14,7.06469e-14,0.216522,175732
27672,2,9.72762e-14,9.72762e-14,9.72762e-14,0.225361,175678
27673,2,1.26822e-13,1.26822e-13,1.26822e-13,0.234689,176127
27674,2,1.29738e-13,1.29738e-13,1.29738e-13,0.235178,176683
27675,2,1.29738e-13,1.29738e-13,1.29738e-13,0.235178,176664
27676,2,1.29738e-13,1.29738e-13,1.29738e-13,0.235178,176448
27677,2,1.39488e-13,1.39488e-13,1.39488e-13,0.236491,175947
27678,2,1.49502e-13,1.49502e-13,1.49502e-13,0.237869,175395
27679,2,1.49765e-13,1.49765e-13,1.49765e-13,0.237934,175143
27680,2,1.49765e-13,1.49765e-13,1.49765e-13,0.237934,175052
27681,2,1.49765e-13,1.49765e-13,1.49765e-13,0.237934,175355
27682,2,1.48211e-13,1.48211e-13,1.48211e-13,0.239002,175697
27683,2,1.46658e-13,1.46658e-13,1.46658e-13,0.240069,176066
27684,2,1.46658e-13,1.46658e-13,1.46658e-13,0.240069,176552
27685,2,1.46658e-13,1.46658e-13,1.46658e-13,0.240069,173964
27686,2,1.46658e-13,1.46658e-13,1.46658e-13,0.240069,167958
27687,2,1.50879e-13,1.50879e-13,1.50879e-13,0.241457,161557
27688,2,1.55101e-13,1.55101e-13,1.55101e-13,0.242844,155119
27689,2,1.542e-13,1.542e-13,1.542e-13,0.242307,151146
27690,2,3.0551e-13,3.0551e-13,3.0551e-13,0.218252,106606
27691,2,3.0551e-13,3.0551e-13,3.0551e-13,0.218252,120762
27692,2,2.70577e-13,2.70577e-13,2.70577e-13,0.219338,134698
27693,2,2.35644e-13,2.35644e-13,2.35644e-13,0.220424,148799
27694,2,2.35644e-13,2.35644e-13,2.35644e-13,0.220424,161036
27695,2,2.35644e-13,2.35644e-13,2.35644e-13,0.220424,164536
27696,2,2.35644e-13,2.35644e-13,2.35644e-13,0.220424,160048
27697,2,1.63768e-13,1.63768e-13,1.63768e-13,0.222176,155797
27698,2,9.18912e-14,9.18912e-14,9.18912e-14,0.223929,151510
27699,2,9.18912e-14,9.18912e-14,9.18912e-14,0.223929,148470
27700,2,9.18912e-14,9.18912e-14,9.18912e-14,0.223929,148883
27701,2,9.18912e-14,9.18912e-14,9.18912e-14,0.223929,153113
27702,2,8.0528e-14,8.0528e-14,8.0528e-14,0.220294,156703
27703,2,6.91648e-14,6.91648e-14,6.91648e-14,0.216659,160436
27704,2,6.91648e-14,6.91648e-14,6.91648e-14,0.216659,164160
